VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-01-26 12:41:09,2015-01-26 12:45:08,1,0.5,-73.9828109741,40.7452545166,1,N,-73.9800415039,40.7520751953,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
1,2015-01-26 12:41:09,2015-01-26 12:45:39,1,0.8,-73.9914932251,40.7389373779,1,N,-73.9885940552,40.7305107117,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
1,2015-01-26 12:41:10,2015-01-26 13:05:04,1,1.1,-73.9823913574,40.7574081421,1,N,-73.9686203003,40.7615203857,1,14.5,0.0,0.5,3.05,0.0,0.3,18.35
1,2015-01-26 12:41:10,2015-01-26 13:00:55,1,2.9,-73.9730758667,40.7803611755,1,N,-73.9862594604,40.7466430664,2,14.0,0.0,0.5,0.0,0.0,0.3,14.8
1,2015-01-26 12:41:11,2015-01-26 12:44:41,1,0.3,-73.9718170166,40.7569007874,1,N,-73.9745483398,40.7517356873,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
1,2015-01-26 12:41:12,2015-01-26 12:59:47,1,3.5,-73.9734725952,40.7439231873,1,N,-73.9820175171,40.7797355652,1,15.0,0.0,0.5,3.15,0.0,0.3,18.95
1,2015-01-26 12:41:12,2015-01-26 12:49:49,1,1.2,-74.0126800537,40.7068367004,1,N,-74.0160446167,40.7148590088,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
1,2015-01-26 12:41:13,2015-01-26 12:51:16,1,1.3,-73.9763946533,40.7484016418,1,N,-73.9940490723,40.7461624146,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
1,2015-01-26 12:41:14,2015-01-26 12:52:40,1,1.9,-73.9892501831,40.741985321,1,N,-74.0025863647,40.7607688904,1,10.0,0.0,0.5,2.7,0.0,0.3,13.5
1,2015-01-26 12:41:14,2015-01-26 12:48:18,1,1.0,-73.9873504639,40.7494468689,1,N,-74.0040740967,40.7558326721,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76
1,2015-01-26 12:41:15,2015-01-26 12:59:22,1,8.1,-73.8638458252,40.7697944641,1,N,-73.962272644,40.7116546631,1,24.5,0.0,0.5,5.05,0.0,0.3,30.35
1,2015-01-26 12:41:15,2015-01-26 12:46:18,1,1.0,-73.9692840576,40.7611351013,1,N,-73.9725341797,40.749546051,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
1,2015-01-26 12:41:15,2015-01-26 12:47:11,2,1.6,-74.0072555542,40.7286834717,1,N,-73.9950561523,40.7500038147,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75
1,2015-01-26 12:41:16,2015-01-26 12:54:54,1,1.6,-73.9812011719,40.7331848145,1,N,-73.978553772,40.7480888367,1,10.0,0.0,0.5,1.0,0.0,0.3,11.8
1,2015-01-26 12:41:17,2015-01-26 13:00:18,1,3.2,-73.9922943115,40.7538375854,1,N,-73.9962997437,40.7404975891,1,14.5,0.0,0.5,3.05,0.0,0.3,18.35
1,2015-01-26 12:41:18,2015-01-26 12:46:41,1,1.0,-73.9674835205,40.7660102844,1,N,-73.9609527588,40.7779502869,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
1,2015-01-26 12:41:19,2015-01-26 12:56:36,1,2.2,-73.9575958252,40.7745285034,1,N,-73.984588623,40.7697563171,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
1,2015-01-26 12:41:20,2015-01-26 12:47:38,1,0.7,-73.9523239136,40.7770462036,1,N,-73.9623565674,40.7773361206,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
1,2015-01-26 12:41:21,2015-01-26 13:07:25,1,4.2,-73.9862823486,40.746837616,1,N,-73.9446640015,40.7950057983,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3
1,2015-01-26 12:41:21,2015-01-26 13:03:26,2,16.3,-73.9983901978,40.761680603,3,N,-74.1772384644,40.6950416565,1,60.5,0.0,0.0,15.3,15.75,0.3,91.85
2,2015-01-07 14:58:06,2015-01-07 15:23:00,1,3.12,-73.968963623,40.7641448975,1,N,-73.9929962158,40.7270011902,1,17.0,0.0,0.5,2.22,0.0,0.3,20.02
1,2015-01-15 10:26:13,2015-01-15 10:30:49,1,0.8,-73.9722366333,40.7455940247,1,N,-73.9646682739,40.7560195923,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3
1,2015-01-15 10:26:14,2015-01-15 10:42:16,1,1.9,-73.9494857788,40.7720718384,1,N,-73.9707260132,40.758392334,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3
1,2015-01-15 10:26:14,2015-01-15 10:51:03,1,2.6,-73.9617614746,40.7642707825,1,N,-73.9892196655,40.7420654297,1,16.0,0.0,0.5,3.35,0.0,0.3,20.15
1,2015-01-15 10:26:14,2015-01-15 10:38:13,1,0.8,-73.9934387207,40.7420005798,1,N,-73.987449646,40.7520217896,1,8.5,0.0,0.5,1.85,0.0,0.3,11.15
1,2015-01-15 10:26:14,2015-01-15 10:49:00,2,6.8,-73.9729766846,40.7611351013,1,N,-74.0097122192,40.709564209,1,23.0,0.0,0.5,4.5,0.0,0.3,28.3
1,2015-01-15 10:26:15,2015-01-15 10:34:40,1,1.3,-73.9476394653,40.7751426697,1,N,-73.9606933594,40.7608070374,1,7.5,0.0,0.5,1.0,0.0,0.3,9.3
1,2015-01-15 10:26:15,2015-01-15 10:35:33,1,0.7,-73.985168457,40.7512130737,1,N,-73.9795150757,40.7618865967,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
1,2015-01-15 10:26:15,2015-01-15 10:33:37,1,0.3,-73.98387146,40.7424545288,1,N,-73.9873046875,40.7440605164,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
1,2015-01-15 10:26:15,2015-01-15 10:36:03,1,1.4,-73.9681549072,40.7623596191,1,N,-73.9816436768,40.7470703125,1,8.0,0.0,0.5,1.2,0.0,0.3,10.0
1,2015-01-15 10:26:16,2015-01-15 10:32:04,1,1.2,-74.0055465698,40.726776123,1,N,-74.0134811401,40.7136573792,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75
1,2015-01-15 10:26:16,2015-01-15 11:08:10,2,12.6,-73.862739563,40.7688446045,1,N,-73.9895629883,40.7588386536,2,40.0,0.0,0.5,0.0,5.33,0.3,46.13
1,2015-01-15 10:26:16,2015-01-15 10:26:42,2,0.0,-73.9876556396,40.7436447144,5,N,-73.987487793,40.7434844971,1,60.0,0.0,0.0,15.0,0.0,0.3,75.3
1,2015-01-15 10:26:17,2015-01-15 10:27:28,1,0.0,-73.9465255737,40.7449913025,1,N,-73.9465255737,40.7449913025,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8
2,2015-01-07 14:58:07,2015-01-07 15:05:03,1,1.08,-73.9881057739,40.7690505981,1,N,-73.9815139771,40.7593460083,1,6.5,0.0,0.5,1.62,0.0,0.3,8.92
2,2015-01-07 14:58:07,2015-01-07 15:10:17,2,1.58,-73.9819564819,40.7692604065,1,N,-73.9734649658,40.7897758484,1,9.5,0.0,0.5,1.0,0.0,0.3,11.3
2,2015-01-07 14:58:07,2015-01-07 15:04:51,1,0.96,-73.9658584595,40.7905235291,1,N,-73.9532394409,40.7854881287,1,6.5,0.0,0.5,1.95,0.0,0.3,9.25
2,2015-01-07 14:58:08,2015-01-07 15:02:05,1,0.77,-73.9965209961,40.7256813049,1,N,-73.9890365601,40.7306861877,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8
2,2015-01-07 14:58:08,2015-01-07 15:06:36,1,0.98,-73.9486923218,40.7777824402,1,N,-73.9552841187,40.7868690491,1,7.0,0.0,0.5,1.4,0.0,0.3,9.2
2,2015-01-07 14:58:08,2015-01-07 15:02:37,2,0.79,-73.9601364136,40.6569976807,1,N,-73.9468612671,40.6571540833,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
2,2015-01-07 14:58:09,2015-01-07 15:12:55,3,4.39,-73.9886627197,40.7227058411,1,N,-73.9872207642,40.6944084167,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
2,2015-01-07 14:58:10,2015-01-07 15:24:07,1,3.37,-73.9641036987,40.7678527832,1,N,-73.9942703247,40.7452354431,1,18.0,0.0,0.5,3.6,0.0,0.3,22.4
2,2015-01-07 14:58:10,2015-01-07 15:16:03,1,1.53,-73.9531784058,40.7827301025,1,N,-73.9532928467,40.7665328979,1,12.0,0.0,0.5,2.4,0.0,0.3,15.2
2,2015-01-07 14:58:10,2015-01-07 15:16:36,6,11.4,-73.7821502686,40.6447105408,1,N,-73.8628692627,40.7671585083,1,31.5,0.0,0.5,6.3,0.0,0.3,38.6
2,2015-01-07 14:58:11,2015-01-07 15:07:44,2,1.46,-73.982131958,40.7683906555,1,N,-73.9919815063,40.7494506836,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2015-01-07 14:58:11,2015-01-07 15:06:51,1,1.25,-73.9851150513,40.7593765259,1,N,-73.993560791,40.7514533997,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
2,2015-01-07 14:58:11,2015-01-07 15:03:10,2,1.3,-74.0104675293,40.7188301086,1,N,-74.007598877,40.7342987061,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2015-01-07 14:58:11,2015-01-07 15:00:50,2,0.69,-73.9510192871,40.7831230164,1,N,-73.9437332153,40.7878456116,1,4.0,0.0,0.5,0.8,0.0,0.3,5.6
2,2015-01-07 14:58:12,2015-01-07 15:04:45,2,0.96,-74.0046081543,40.7415237427,1,N,-73.9914398193,40.7366867065,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2015-01-07 14:58:12,2015-01-07 15:14:02,2,2.05,-73.993598938,40.7499313354,1,N,-73.9844818115,40.7353782654,1,12.0,0.0,0.5,3.6,0.0,0.3,16.4
